timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label
2025-07-13T11:10:08.600403,12540,-4140,15140,-1971,1065,-935,sitting
2025-07-13T11:10:08.600403,11352,-4896,13784,-930,1687,-325,sitting
2025-07-13T11:10:08.600403,9688,-4828,12192,-172,1001,63,sitting
2025-07-13T11:10:08.601067,8996,-4444,10960,281,42,-115,sitting
2025-07-13T11:10:08.601067,9292,-4028,11292,529,-1417,-506,sitting
2025-07-13T11:10:08.601067,10600,-4076,13052,910,-2232,-370,sitting
2025-07-13T11:10:08.601067,11748,-3836,14124,1529,-2219,79,sitting
2025-07-13T11:10:08.601441,11888,-3212,13196,1809,-1559,619,sitting
2025-07-13T11:10:08.601441,11228,-2984,11944,1344,-911,643,sitting
2025-07-13T11:10:08.601441,10568,-2928,11396,905,-1355,664,sitting
2025-07-13T11:10:08.601441,10864,-2908,11492,1055,-2428,660,sitting
2025-07-13T11:10:08.601441,11884,-2720,11824,1399,-3074,613,sitting
2025-07-13T11:10:08.601441,12844,-2580,12024,1362,-2724,436,sitting
2025-07-13T11:10:08.601441,13436,-2272,11856,912,-2066,153,sitting
2025-07-13T11:10:08.601848,13588,-2024,11120,217,-802,74,sitting
2025-07-13T11:10:08.601848,13580,-1956,10760,-521,265,-13,sitting
2025-07-13T11:10:08.601848,13696,-2016,10684,-1179,1051,-550,sitting
2025-07-13T11:10:08.601848,13636,-2400,11016,-1557,1363,-1401,sitting
2025-07-13T11:10:08.601848,13756,-2848,11400,-1552,1213,-2145,sitting
2025-07-13T11:10:08.602210,13928,-2896,11388,-1671,2500,-2349,sitting
2025-07-13T11:10:08.602210,13364,-2972,11208,-2236,3957,-2045,sitting
2025-07-13T11:10:08.602210,12588,-3096,11304,-2386,4531,-1508,sitting
2025-07-13T11:10:08.602210,11960,-3072,11492,-2229,4595,-1055,sitting
2025-07-13T11:10:09.620570,10576,-2900,12776,-1780,2949,76,sitting
2025-07-13T11:10:09.620570,10392,-3248,12880,-1435,2241,225,sitting
2025-07-13T11:10:09.620570,10532,-3296,12816,-1041,1415,-107,sitting
2025-07-13T11:10:09.620570,10540,-3344,12640,-775,745,-634,sitting
2025-07-13T11:10:09.620570,10720,-3440,12700,-704,204,-916,sitting
2025-07-13T11:10:09.620570,10692,-3568,12468,-521,-409,-1030,sitting
2025-07-13T11:10:09.620570,11208,-3572,12376,-231,-811,-1046,sitting
2025-07-13T11:10:09.620570,11648,-3304,12088,-46,-844,-880,sitting
2025-07-13T11:10:09.620570,11904,-3244,11784,-41,-774,-510,sitting
2025-07-13T11:10:09.620570,12480,-2928,11736,-5,-628,-123,sitting
2025-07-13T11:10:09.620570,13156,-2396,11420,-161,220,26,sitting
2025-07-13T11:10:09.620570,13140,-2292,11368,-723,1163,-207,sitting
2025-07-13T11:10:09.620570,12392,-2520,11556,-1188,1740,-175,sitting
2025-07-13T11:10:09.620570,12264,-2808,11932,-1332,2033,-137,sitting
2025-07-13T11:10:09.620570,12028,-3060,12140,-1328,2351,-210,sitting
